Source,Target,Weight
Kinderkrankengeld (KKG),Sonstige Leistungen,31
Leistungsuebersicht,Sonstige Leistungen,190
Krankenhausaufenthalt,Sonstige Leistungen,3
Elektronischer Austausch von Sozialversicherungsdaten (EESSI),Sonstige Leistungen,4
Ambulante Versorgungsabrechnungen,Sonstige Leistungen,138
CRM,Sonstige Leistungen,1
Pflegeunterstuetzungsgeld,Sonstige Leistungen,2
Entgeltersatzleistungen,Sonstige Leistungen,14
Einzug von Zuzahlungen,Sonstige Leistungen,2
DA Zahnaerzte Leistungsantraege (ELAG),Sonstige Leistungen,19
Psychotherapie,Sonstige Leistungen,16
DA Apotheken,Sonstige Leistungen,6
Kur,Sonstige Leistungen,38
Haeusliche Krankenpflege,Sonstige Leistungen,1
Mitteilungsmanagement,Sonstige Leistungen,3
Hausarztzentrierte Versorgung (HzV),Sonstige Leistungen,1
DA Zahnaerzte / Behandlungsfallnachweis,Sonstige Leistungen,107
Pflegeversicherung,Sonstige Leistungen,36
Gesundheitsdividende,Sonstige Leistungen,8
MeineTK,Sonstige Leistungen,112
DA Sonstige Leistungserbringer,Sonstige Leistungen,30
Rehasport und Funktionstraining,Sonstige Leistungen,1
Leistungen-Basis,Sonstige Leistungen,128
Wahl der Kostenerstattung,Sonstige Leistungen,7
Fahrkosten,Sonstige Leistungen,65
Unfall,Sonstige Leistungen,3
Pflegeversicherung,KISG-Java (Altsysteme),7
Gesundheitskarte (eGK),KISG-Java (Altsysteme),49
Leistungen-Basis,KISG-Java (Altsysteme),45
Arbeitgeberbestandsfuehrung,KISG-Java (Altsysteme),4
Dokumentenarchiv und Dokumentenaufnahme,KISG-Java (Altsysteme),19
Vorgangssystem,KISG-Java (Altsysteme),22
DA Integrierte Versorgung,KISG-Java (Altsysteme),18
Kiss24-TKeasy,KISG-Java (Altsysteme),303
CRM,KISG-Java (Altsysteme),6
Krankenhausaufenthalt,KISG-Java (Altsysteme),41
Versichertenbestandsfuehrung,tk.de,362
Vertriebsmanagement,tk.de,24
MeineTK,tk.de,121
TK-Termin,tk.de,4
CRM-Akquisemanager,tk.de,8
Krankenhausaufenthalt,Implantattraeger,2
Leistungsuebersicht,Pflegeunterstuetzungsgeld,26
DA Entgeltersatzleistungen,Pflegeunterstuetzungsgeld,25
Leistungen-Basis,Pflegeunterstuetzungsgeld,14
Gesundheitskarte (eGK),Melderegisterabgleich,141
Versichertenbestandsfuehrung,Melderegisterabgleich,267
Hausarztzentrierte Versorgung (HzV),DA Hausarztzentrierte Versorgung,9
MeineTK,DA Hausarztzentrierte Versorgung,213
TK-Patientenquittung,DA Hausarztzentrierte Versorgung,30
TK-Vorsorgeplaner,DA Hausarztzentrierte Versorgung,1477
Krankenhausaufenthalt,KI-Basis,222
Kieferorthopaedie,KI-Basis,73
Einstufungsverlauf,KI-Basis,36
Arbeitsunfaehigkeit,KI-Basis,264
Haeusliche Krankenpflege,KI-Basis,214
Datenuebermittlung BA - DÜBAK,TK-Konto (TKeasy-GUI  Schriftgut),15
MeineTK,TK-Konto (TKeasy-GUI  Schriftgut),13
Versichertenbestandsfuehrung,TK-Konto (TKeasy-GUI  Schriftgut),31
Dividendenverlauf,TK-Konto (TKeasy-GUI  Schriftgut),73
Wahltarife,TK-Konto (TKeasy-GUI  Schriftgut),131
Professionelle Zahnreinigung,TK-Konto (TKeasy-GUI  Schriftgut),1
Mitgliederbeitrag,TK-Konto (TKeasy-GUI  Schriftgut),930
Kostenerstattung,TK-Konto (TKeasy-GUI  Schriftgut),6
Arbeitgeberbeitrag,TK-Konto (TKeasy-GUI  Schriftgut),22
Beitragserstattung aus Rente,TK-Konto (TKeasy-GUI  Schriftgut),17
Studienverlauf,TK-Konto (TKeasy-GUI  Schriftgut),68
Kiss24-TKeasy,Testdatenmanagement,23
Unfall,Medizinproduktregress,55
KI-Basis,Diseasemanagement-Programme,1
Hausarztzentrierte Versorgung (HzV),Diseasemanagement-Programme,95
Versorgungsangebot,Diseasemanagement-Programme,47
Versichertenbestandsfuehrung,Diseasemanagement-Programme,1
LM-Fallfuehrung,Diseasemanagement-Programme,48
CRM,Diseasemanagement-Programme,7
Fusionsarchiv,Diseasemanagement-Programme,10
Wahltarife,Diseasemanagement-Programme,8
MeineTK,Diseasemanagement-Programme,13
Krankenhausaufenthalt,Diseasemanagement-Programme,4
Arbeitgeberbeitrag,Gerichtsverzeichnis,8
Widerspruchsbearbeitung,Gerichtsverzeichnis,11
Insolvenzmanagement,Gerichtsverzeichnis,5
TK-Konto (TKeasy-GUI  Schriftgut),Gerichtsverzeichnis,7
Pruefung der Leistungspflicht - PLP,Gerichtsverzeichnis,3
Versichertenbestandsfuehrung,Gerichtsverzeichnis,8
Geschaeftspartner,Gerichtsverzeichnis,9
Einzug von Zuzahlungen,Gerichtsverzeichnis,3
Versichertenbestandsfuehrung,Hochschul-Meldungen,53
Studienverlauf,Hochschul-Meldungen,1887
CRM-Akquisemanager,Hochschul-Meldungen,23
TK-Termin,CRM-Empfangssteuerung,13
Psychotherapie,Wahl der Kostenerstattung,15
Kur,Wahl der Kostenerstattung,48
Hilfsmittel,Wahl der Kostenerstattung,32
Rehasport und Funktionstraining,Wahl der Kostenerstattung,8
Kieferorthopaedie,Wahl der Kostenerstattung,6
MeineTK,Wahl der Kostenerstattung,82
Sonstige Leistungen,Wahl der Kostenerstattung,18
Leistungsuebersicht,Wahl der Kostenerstattung,7
Optimization,Wahl der Kostenerstattung,1
Leistungen-Basis,Wahl der Kostenerstattung,45
Haeusliche Krankenpflege,Leistungsuebersicht,17
Psychotherapie,Leistungsuebersicht,23
Pruefung der Leistungspflicht - PLP,Leistungsuebersicht,64
KI-Basis,Leistungsuebersicht,7
DA Zahnaerzte / Behandlungsfallnachweis,Leistungsuebersicht,18
Kinderkrankengeld (KKG),Leistungsuebersicht,132
Mutterschaftsgeld (MUG),Leistungsuebersicht,67
Kur,Leistungsuebersicht,48
Pflegeunterstuetzungsgeld,Leistungsuebersicht,31
Mitteilungsmanagement,Leistungsuebersicht,7
Erstattung von AG-Aufwendungen,Leistungsuebersicht,53
Wahltarife,Leistungsuebersicht,9
Rehasport und Funktionstraining,Leistungsuebersicht,8
Leistungen-Basis,Leistungsuebersicht,19
Haertefall - Belastungsgrenze,Leistungsuebersicht,8
UI-Components,Leistungsuebersicht,19
Sonstige Leistungen,Leistungsuebersicht,94
Fahrkosten,Leistungsuebersicht,7
CRM,Leistungsuebersicht,68
LM-Fallfuehrung,Leistungsuebersicht,73
Wahl der Kostenerstattung,Leistungsuebersicht,9
Versichertenbestandsfuehrung,Leistungsuebersicht,15
Unfall,Leistungsuebersicht,288
Zahnersatz,Leistungsuebersicht,18
Entgeltersatzleistungen,Leistungsuebersicht,132
Pflegeversicherung,Leistungsuebersicht,68
Hilfsmittel,Leistungsuebersicht,60
Einzug von Zuzahlungen,Leistungsuebersicht,28
Hausarztzentrierte Versorgung (HzV),Leistungsuebersicht,5
Sozialhilfetraeger,Leistungsuebersicht,11
Arbeitsunfaehigkeit,Leistungsuebersicht,57
Kostenerstattung,Leistungsuebersicht,36
DA Entgeltersatzleistungen,Leistungsuebersicht,31
Krankenhausaufenthalt,Leistungsuebersicht,121
CRM-Akquisemanager,Adress-Service,68
SozV-Meldungen,Adress-Service,19
Behandler-Verzeichnis,Adress-Service,51
Gesundheitskarte (eGK),Adress-Service,14
"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)",Adress-Service,2
KVNr-Meldungen,Adress-Service,14
Melderegisterabgleich,Adress-Service,23
Pflegeversicherung,Adress-Service,12
Ambulante Versorgungsabrechnungen,Adress-Service,2
Studienverlauf,Adress-Service,2
Geschaeftspartner,Adress-Service,18
CRM,Adress-Service,8
Versichertenbestandsfuehrung,Adress-Service,83
MeineTK,Adress-Service,2
Mitgliederbeitrag,Adress-Service,1
Praeventionskurse,Adress-Service,10
tk.de,Adress-Service,6
Fahrkosten,Adress-Service,14
Vertriebsmanagement,Adress-Service,2
Arbeitgeberbestandsfuehrung,Adress-Service,8
UI-Components,Adress-Service,22
Pflegeperson,Adress-Service,35
